;demandar;pozywać, żądać;to sue, to demand;;
;demostrar,  indicar;pokazywać, udowadniać, podawać;to demonstrate, to prove;;
;depender;zależeć od;to depend;;
;derramarse;rozlewać się;to spill;;
;derrapar;wpaść w poślizg;to skid;;
;derrochar;marnować, trwonić;to squander, to throw away money;;
;desabrochar;rozpinać;to unbutton, to unfasten ;;
;desambolsar;wyciągać z kieszeni, wykładać (pieniądze);to pay out;;
;desandar;przywracać do poprzedniego stanu;to retrace;;
;desangrarse;wykrwawiać się;to lose a lot of blood;;
;desarrollar;rozwijać;to develop, to expound , to explain;;
;desasosegar;niepokoić kogoś, przeszkadzać, utrudniać;to disturb, to make uneasy;;
;desayunar ;jeść śniadanie;to eat breakfast;;
;descansar;odpoczywać ;to rest;;
;descargar;ściągać, pozyskiwać;to unload, to download;;
;desconectar;wyłączać, rozłączać;to disconnect, to switch off;;
;desconocer;nie wiedzieć, nie znać;to not know;;
;descoser;rozpruwać; to unstitch, to unpick ;;
;descubrir;odkrywać, wynaleźć;to discover, to uncover;;
;hallar;znaleźć, wynaleźć;to discover, to find;;
;desdeñar;pogardzać, odrzucać;to scorn, to disdain ;;
;desear;życzyć;to wish, to want;;
;desecar;uschnąć, wysuszać;to dry, to dain ;;
;desgarrar;drzeć, rozdzierać;to tear, to rip;;
;deshacer;pozbywać się, roztapiać, rozwiązywać, niszczyć;to undo, to untie,to unwrap, to unpick;;
;desinflar;uchodzić (powietrze);to deflate;;
;desnudarse , quitarse la ropa;rozbierać się;to get undressed, to undress, to take clothes off;;
;despedir;zwolnić (z pracy), pożegnać;to say goodbye, to fire (from job);;
;despegar;wystartować, oddzielać;to take off, to unstick ;;
;despertarse ;budzić się;to wake up;;
;desplazar;przenosić, wypierać;to displace;;
;destacar;wyróżniać;to emphasize;;
;destrozar;rozbijać, rozdzielać, podrzeć;to destroy, to smash, to ruin;;
;destruir;niszczyć;to destroy, to demolish;;
;desvirtuar;podważać;to distort;;
;detener ;powstrzymać się, aresztować;to stop, to arrest, to delay;;
;deteriorar;niszczeć;to damage, to spoil;;
;devolver ;zwracać, oddawać;to return, to give back;;
;devorar;pożerać;to devour, to wolf down, to consume;;
;dibujar ;rysować ;to draw, to sketch ;;
;diferir;różnić się, nie zgadzać się;to differ, to postpone, to disagree ;;
;difuminar;zanikać, cieniować;to blur, to fade;;
;difundir, propagar;rozprzestrzeniać, rozpowszechniać;to spread, to broadcast;;
;digerir;trawić, przyswajać;to digest, to assimilate;;
;dirigir;kierować, rządzić;to manage, to run, to lead, to direct ;;
;dirigirse;zwracać się, kierować się, udawać się;to walk toward, to address;;
;discernir;rozróżniać, odróżnić;to discern, to distinguish;;
;diseñar;projektować;to design, to draw, to outline;;
;disfrazarse;przebierać się, wystroić się;to dress up, to disguise;;
;disfrutar ;korzystać;to enjoy;;
;disparar;strzelać;to shoot;;
;disponer;dysponować;to arrange, to have, to set out ;;
;disputar;dyskutować, współzawodniczyć;to dispute, to discuss;;
;distinguir;odróżniać;to distinguish, to tell the difference;;
;distraer;zabawiać, bawić, rozpraszać, sprzeniewierzać, defraudować;to distract, to amuse, to entertain ;;
;divorciarse;rozwodzić się;to divorce, to get divorced;;
;doblar;dublować, skręcać za róg, wyginać;to fold, to bend, to double;;
;dormir ;spać ;to sleep, to spend the night;;
;dormirse;zasnąć, zaspać;to fall asleep;;
;ducharse ;brać prysznic;to take a shower;;
;dudar;wątpić;to doubt;;
;durar ;trwać, dotrwać, potrwać;to last, to be long;;
;echar ;rzucać, nalewać, wyrzucać;to throw, to cast, to add;;
;ejecutar;wykonywać, egzekwować;to carry out, to execute;;
;elegir;wybierać;to choose, to select, to elect ;;
;elogiar;chwalić, komplementować;to praise, to eulogize ;;
;embaír , estafar;oszukiwać ;to cheat, to swindle;;
;emborracharse;upijać się; to get drunk;;
;emitir;transmitować, emitować;to emit, to give out;;
;empadronarse;zameldować się;to register as resident;;
;empezar;zaczynać;to begin, to start;;
;emprender;podejmować(wyzwanie);to undertake, to start;;
;empuchar , apretar;pchać, naciskać;to press, to squeeze;;
;enamorarse;zakochać się;to fall in love;;
;encadenar;uwiązać, łączyć;;;
;encantar;zachwycać, uwielbiać, zaczarować;to love;;
;encarcelar;uwięzić;;;
;encargar;zlecać, nakazywać;to order;;
;encargarse ;zajmować się ;to take charge, take over;;
;encender ;zapalać, włączać;turn on;;
;enchufar;wkładać w gniazdko;;;
;encontrar ;spotykać, znajdować;to find;;
;encubrir;ukrywać, taić;cover up;;
;enfadarse , enojarse;złościć się, gniewać się ;;;
;enfocar;skupiać się;;;
;enfrentar;stawiać czoło, wychodzić naprzeciw;to face up;;
;enfurecer;wściekać się;;;
;engordar ;tyć;to fatten;;
;enriquecer;wzbogacać;to enrich;;
;enseñar ;nauczać, pokazywać, prezentować;to teach;;
;ensimismarse;"pogrążać się w myślach, ""wyłączyć się""";to fall asleep;;
;ensuciar;brudzić; to make dirty;;
;enterarse;dowiadywać się;;;
;entonar;intonować;;;
;entrar ;wchodzić;ti incame;;
;envenenar;truć;;;
;envidiar;zazdrościć;;;
;equilibrar;równoważyć;;;
;equivocarse ;mylić się;;;
;erguir;wyprostować;;;
;eructar;bekać;;;
;esclarecer , dilucidar;rozjaśniać, objaśniać, wyjaśniać;;;
;escoger ;dokonywać wyboru, wytypować;;;
;esconderse;ukrywać się, chować się;;;
;escribir;pisać;;;
;escuchar;słuchać;;;
;escupir;pluć;;;
;esmerar;szlifować;;;
;esmerarse;starać się;;;
;esparcir;rozrzucać;;;
;esperar ;czekać, mieć nadzieję;;;
;espiar;szpiegować;;;
;esquiar;jeździć na nartach;;;
;establecer;zakładać (z góry), nawiązywać;;;
;establecer;ustanowić;;;
;estornudar ;kichać;;;
;estrellarse;rozbijać się;;;
;estremecer;wstrząsnąć, być wstrząśniętym;;;
;estrenar;debiutować, rozpoczynać;;;
;estudiar;studiować, uczyć się;;;
;evitar ;unikać;;;
;exagerar;przesadzać, wyolbrzymiać;;;
;examinar;badać, przeglądać;;;
;excavar;odkopywać;;;
;exigir ;żądać, wymagać;;;
;expulsar;wyrzucać;;;
;extinguir;wymierać;;;
;extrañar;zdumiewać, dziwić się;;;
;fallar;nie udać się, zawodzić;;;
;faltar ;brakować;;;
;fastidiar;dokuczać;;;
;favorecer , mejorar;być korzystnym, polepszać ;;;
;felicitar;gratulować;;;
;fijar ;ustalać;;;
;fijarse;zwracać uwagę;;;
;finalizar , terminar;kończyć;;;
;fingir;udawać, pozorować;;;
;firmar ;podpisywać, rozdawać autografy;;;
;follar;wulg. pierdolić;;;
;fortalecer;wzmaniać, umacniać;;;
;forzar;zmuszać;;;
;fracasar;nie powieść się, przegrać;;;
;fregar;myć, szorować;;;
;freír;smażyć;;;
;frenar;hamować;;;
;frotar;ucierać, trzeć;;;
;fumar;palić;;;
;fundar;zakładać (firmę);;;
;fusilar;rozstrzelać;;;
;ganar;wygrywać, zarabiać;;;
;gastar ;wydawać, zużywać;;;
;gatear;chodzić na czworakach;;;
;girar ;skręcać;;;
;golpear ;bić, uderzać, pukać;;;
;gozar;cieszyć się, korzystać, czerpać;;;
;grabar ;nagrywać;;;
;gravar;obciążać, opodatkować;;;
;gritar ;krzyczeć ;;;
;guardar , proteger;chronić, strzec;;;
;guiar;przewodzić, oprowadzać;;;
;guiñar;"„puszczać oko""";;;
;gustar ;podobać się, lubić;;;
;hablar;mówić;;;
;hacer;robić;;;
;hacer cola;stać w kolejce;;;
;hacer pipi;siusiać;;;
;hacerse , acostumbrarse;przyzwyczajać się ;;;
;hacerse , dependiente;uzależniać się (od czegoś);;;
;helar;zamrażać, mrozić;;;
;helarse;zamarzać;;;
;heredar;dziedziczyć;;;
;herir , vulnerar;ranić;;;
;hervir ;wrzeć;;;
;hinchar;nadmuchiwać, pompować;;;
;horrorizar;przerażać;;;
;huir;uciekać;;;
;humillar;upokarzać;;;
;idolatrar;oddawać cześć, uwielbiać;;;
;imaginarse;wyobrażać sobie;;;
;imponer;narzucać;;;
;importar;obchodzić;;;
;inclinarse;pochylać się, kłaniać się;;;
;incluir;zawierać ;;;
;incrementar , ampliar;Zwiększać, powiększać;;;
;indemnizar;rekompensować;;;
;indicar , demostrar;pokazywać ;;;
;indultar;ułaskawiać;;;
;inflar;pompować (powietrze);;;
;inscribir;zapisywać (na coś);;;
;insistir;nalegać;;;
;intentar ;zamierzać;;;
;intoxicar;zatruwać;;;
;invitar;zapraszać ;;;
;involucrar;angażować się, dotyczyć,wplątać się;to involve;;
;ir;iść ;;;
;joder;wulg. pieprzyć, rżnąć;;;
